user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy
How many days of bereavement leave are provided for the death of an immediate family member?,"['as soon as you can so they can arrange for your absence.\nYou can take ten days of bereavement leave for the death of an immediate family member, and three days\nleave for the death of an extended family member. If you know youʼll be away from work for much longer,\nbeneﬁts-and-perks.md 2026-05-25\n3 / 5', 'as soon as you can so they can arrange for your absence.\nYou can take ten days of bereavement leave for the death of an immediate family member, and three days\nleave for the death of an extended family member. If you know youʼll be away from work for much longer,\nbeneﬁts-and-perks.md 2026-05-25\n3 / 5', 'CA-PFL does not provide job protection, only monetary benefits, up to 8 weeks.\nPaid Family Leave for Caregivers to care for a seriously ill or injured family member. CA-PFL does\nnot provide job protection, only monetary benefits, up to 8 weeks.\nColorado Medical and Family Leave\nResidents of Colorado may be eligible for continuous or intermittent leave to care for themselves, a\nchild, or other family member. CO-PMFL programs provide job protection and monetary benefits.\nPaid Family Leave for Bonding with a new baby or after the placement of an adopted or foster child,\nup to 16 weeks.\nPaid Family Leave for Family Care to care for a seriously ill or injured family member, up to 12\nweeks.\nPaid Family Leave for Self to manage your own serious health condition, up to 12 weeks.\nPaid Family Leave for Military Families to manage arrangements when an immediate family member\nis called to active service in a foreign country, up to 12 weeks.', 'adoption, or foster care placement, up to 12 weeks.\nPaid Family Leave for Family Members of Covered Service Personnel to manage needs that take\nplace immediately after a family member who is covered service personnel is deployed or about to\nstateFMLA.md 2026-05-25\n1 / 2']",Employees are entitled to 10 days of bereavement leave for the death of an immediate family member [Doc 1].,Employees can take 10 days of bereavement leave for the death of an immediate family member.,,
How much does 37signals match for employee retirement contributions?,"['Youʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment.\nMore information about the policies and filing claims can be found in Basecamp.\nRetirement Plan\nOur retirement plan for US employees is with Vanguard. 37signals matches 100% of what you contribute,\nup to 6% of your salary. You are eligible to enroll in the 401K plan with your first paycheck.\nIf youʼre outside the US, 37signals will match what you contribute to a retirement account in your home\ncountry, up to 6% of your salary. In these cases, 37signals will pay you directly via your monthly invoice.\nItʼs up to you to invest that payment and maintain administration of the retirement account and its taxes.\nYou may be asked to provide documentation to support your request for a match.\nFlexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such', 'Youʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment.\nMore information about the policies and filing claims can be found in Basecamp.\nRetirement Plan\nOur retirement plan for US employees is with Vanguard. 37signals matches 100% of what you contribute,\nup to 6% of your salary. You are eligible to enroll in the 401K plan with your first paycheck.\nIf youʼre outside the US, 37signals will match what you contribute to a retirement account in your home\ncountry, up to 6% of your salary. In these cases, 37signals will pay you directly via your monthly invoice.\nItʼs up to you to invest that payment and maintain administration of the retirement account and its taxes.\nYou may be asked to provide documentation to support your request for a match.\nFlexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such', ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment."", ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment.""]","According to doc id=""2"", 37signals matches 100% of what you contribute to a retirement account, up to 6% of your salary [Doc 2].",37signals matches 100% of employee retirement contributions up to 6% of salary.,,
How much can employees expense for a home office setup during their first year?,"['yours breaks, gets too old, or if a more efficient model is released and replacing your machine would\nbenefit your work. Please get approval from Finance before purchasing a new computer.\nHome Office Set-up\nDuring your first year at 37signals, you can expense up to $3,000 on a new desk, new desk chair,\ncomputer accessories, or other office furniture.\nWhen your office furniture needs to be replaced, you can do so with approval from People Ops.\nCoworking Space Stipend\nYou can expense up to $200/month towards renting coworking space in your city. Please make sure\nyouʼre using a true coworking space thatʼs meant solely for working, not a club or social space like Soho\nHouse.\nEveryone at 37signals has a subscription to Deskpass, a co-working desk reservation service. You can\nuse Deskpass to find co-working spaces near you, and your $200/month benefit is pre-fixed in your\naccount. Youʼre not required to use Deskpass to use your co-working space benefit. Your Deskpass', 'yours breaks, gets too old, or if a more efficient model is released and replacing your machine would\nbenefit your work. Please get approval from Finance before purchasing a new computer.\nHome Office Set-up\nDuring your first year at 37signals, you can expense up to $3,000 on a new desk, new desk chair,\ncomputer accessories, or other office furniture.\nWhen your office furniture needs to be replaced, you can do so with approval from People Ops.\nCoworking Space Stipend\nYou can expense up to $200/month towards renting coworking space in your city. Please make sure\nyouʼre using a true coworking space thatʼs meant solely for working, not a club or social space like Soho\nHouse.\nEveryone at 37signals has a subscription to Deskpass, a co-working desk reservation service. You can\nuse Deskpass to find co-working spaces near you, and your $200/month benefit is pre-fixed in your\naccount. Youʼre not required to use Deskpass to use your co-working space benefit. Your Deskpass', 'Flexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such\nas prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much\nmoney you want to put in the account, and the max is $3,300/year per person in your household. There is\na separate type of FSA for dependent care, and the max for that plan is $7,500/year or $3,750/year if you\nsplit this with a partner. This is an entirely optional program. Open enrollment is in December every year,\nwith new coverage beginning January 1. Both FSAs are through FLEX, and detail can be found in\nBasecamp.\nPaid Time Off\n37signals offers 20 days of vacation and personal days plus 11 local holidays every year. We ask that you\ntrack your time off. Your vacation time is prorated based on your start date during your first year at\n37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you', 'Flexible Spending Account (FSA)\nThe FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such\nas prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much\nmoney you want to put in the account, and the max is $3,300/year per person in your household. There is\na separate type of FSA for dependent care, and the max for that plan is $7,500/year or $3,750/year if you\nsplit this with a partner. This is an entirely optional program. Open enrollment is in December every year,\nwith new coverage beginning January 1. Both FSAs are through FLEX, and detail can be found in\nBasecamp.\nPaid Time Off\n37signals offers 20 days of vacation and personal days plus 11 local holidays every year. We ask that you\ntrack your time off. Your vacation time is prorated based on your start date during your first year at\n37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you']","According to doc id=""1"" and doc id=""2"", employees can expense up to $3,000 on a new desk, new desk chair, computer accessories, or other office furniture for a home office set-up during their first year at 37signals [Doc 1 & Doc 2].","Employees can expense up to $3,000 for home office furniture, accessories, and equipment during their first year.",,
What is the monthly coworking space stipend?,"['yours breaks, gets too old, or if a more efficient model is released and replacing your machine would\nbenefit your work. Please get approval from Finance before purchasing a new computer.\nHome Office Set-up\nDuring your first year at 37signals, you can expense up to $3,000 on a new desk, new desk chair,\ncomputer accessories, or other office furniture.\nWhen your office furniture needs to be replaced, you can do so with approval from People Ops.\nCoworking Space Stipend\nYou can expense up to $200/month towards renting coworking space in your city. Please make sure\nyouʼre using a true coworking space thatʼs meant solely for working, not a club or social space like Soho\nHouse.\nEveryone at 37signals has a subscription to Deskpass, a co-working desk reservation service. You can\nuse Deskpass to find co-working spaces near you, and your $200/month benefit is pre-fixed in your\naccount. Youʼre not required to use Deskpass to use your co-working space benefit. Your Deskpass', 'yours breaks, gets too old, or if a more efficient model is released and replacing your machine would\nbenefit your work. Please get approval from Finance before purchasing a new computer.\nHome Office Set-up\nDuring your first year at 37signals, you can expense up to $3,000 on a new desk, new desk chair,\ncomputer accessories, or other office furniture.\nWhen your office furniture needs to be replaced, you can do so with approval from People Ops.\nCoworking Space Stipend\nYou can expense up to $200/month towards renting coworking space in your city. Please make sure\nyouʼre using a true coworking space thatʼs meant solely for working, not a club or social space like Soho\nHouse.\nEveryone at 37signals has a subscription to Deskpass, a co-working desk reservation service. You can\nuse Deskpass to find co-working spaces near you, and your $200/month benefit is pre-fixed in your\naccount. Youʼre not required to use Deskpass to use your co-working space benefit. Your Deskpass', ""account. Youʼre not required to use Deskpass to use your co-working space benefit. Your Deskpass\nbudget is capped at $200/mo, but none of that gets paid out unless you book a desk.\nPersonal 37signals Accounts\nAll employees can have a free personal Basecamp account and a free personal HEY account. We'll comp\nyour existing accounts during your on-boarding process when you join the company. If you decide to sign\nup for either account later, you can comp the accounts in Queenbee so you won't be charged. Ping\nAndrea or Support if you need help with that.\nExpense Account\nAll staff carry a 37signals Visa card that you can use for work expenses like the benefits described above,\nsoftware, computer equipment, meet-up travel, or office supplies. Check with your manager or your\nPeople Ops team if you have any doubts about whether or not a purchase qualifies as a work expense.\nWe use an expense management platform called Airbase. Youʼre responsible for the monthly categorizing"", ""account. Youʼre not required to use Deskpass to use your co-working space benefit. Your Deskpass\nbudget is capped at $200/mo, but none of that gets paid out unless you book a desk.\nPersonal 37signals Accounts\nAll employees can have a free personal Basecamp account and a free personal HEY account. We'll comp\nyour existing accounts during your on-boarding process when you join the company. If you decide to sign\nup for either account later, you can comp the accounts in Queenbee so you won't be charged. Ping\nAndrea or Support if you need help with that.\nExpense Account\nAll staff carry a 37signals Visa card that you can use for work expenses like the benefits described above,\nsoftware, computer equipment, meet-up travel, or office supplies. Check with your manager or your\nPeople Ops team if you have any doubts about whether or not a purchase qualifies as a work expense.\nWe use an expense management platform called Airbase. Youʼre responsible for the monthly categorizing""]","The monthly coworking space stipend is $200 per month. You can use this benefit to rent coworking space in your city, but please ensure that you're using a true coworking space meant solely for working, not a club or social space like Soho House [Doc 1 & Doc 2].",Employees can expense up to $200 per month for coworking space.,,
What happens on an employee's first day at 37signals?,"[""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment."", ""37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays\n100% of the premium. Youʼre eligible for coverage on your first day of employment, and itʼs terminated\nautomatically on your final day of employment. Open enrollment is in November every year, and\nparticipants are auto-enrolled at that time.\nDisability Insurance\n37signals provides MetLife Short Term and Long Term Disability policies to all US employees, at no cost\nto the employee. The Short Term policy may replace up to 70% of your salary, up to 12 weeks and up to\n$3,000 per week. There is a 7-calendar-day waiting period for Short Term Disability. The Long Term\npolicy may replace up to 60% of your salary, up to $12,000 per month. There's a 90 day waiting period\nfor Long Term Disability.\nYouʼre eligible for coverage on your first day of employment, and the policies will terminate on your final\nday of employment."", 'Benefits & Perks\nHealth Insurance\nDetailed information about all 37signals insurance policies and other benefits can be found in Basecamp.\nMedical Insurance\nIn the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company\npays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every\nyear, with new coverage beginning December 1. Marriages and domestic partnerships are covered. Youʼre\neligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your\ncoverage will end on the last day of the month of your separation date and you may be eligible for\ncontinued coverage after that (COBRA).\nEach pay period, youʼll see a payroll deduction for medical insurance:\nEmployee-only medical coverage: $96.05\nEmployee-partner medical coverage: $197.27\nEmployee-child(ren) medical coverage: $186.44\nEmployee-family medical coverage: $287.65\nDental Insurance', 'partnerships are covered equally. Youʼre eligible for coverage on your first day of employment. If you are\nterminated or resign from 37signals, your coverage will end on the last day of the month of your\nseparation date and you may be eligible for continued coverage after that (COBRA).\nHealth Insurance for Staff Outside the US\nIf youʼre outside of the US and pay out of pocket for health insurance, you can request reimbursement for\n75% of your insurance payments on your monthly invoice. Your monthly reimbursement is capped at the\namount 37signals pays per employee per month on the US employee group plan. You may be asked to\nprovide documentation to support your request for reimbursement.\nLife Insurance\nbeneﬁts-and-perks.md 2026-05-25\n1 / 5']","On an employee's first day at 37signals, they are eligible to enroll in the company-provided life insurance/AD+D policy through MetLife, which is paid by the company [Doc 1 & Doc 2]. They will also be auto-enrolled into the Short Term and Long Term Disability policies provided by MetLife, which are offered at no cost to the employee [Doc 1 & Doc 2].","Employees log into Basecamp and receive a personalized onboarding project called 'Welcome, [your name]!' containing setup tasks, training materials, and onboarding information.",,
What is the role of a 37signals buddy?,"['Getting Started\nGetting started at 37signals involves a lot of little details, a number of big tasks, learning the details of\nyour new job, meeting new coworkers, all while working remotely. Your teammates, your manager, your\n37signals buddy, your Ops buddy, and our People team are all here to help as you navigate your first few\ndays and weeks.\nYour First Few Days\nBefore you start, the People team will order you a new computer with the specs you request and any\naccessories you need like an external keyboard, mouse, or display. Get what you need, while keeping in\nmind the demands of your work when choosing specs. Everyone working on ops, SIP, or writing Ruby for\nproduct should be running Omarchy. Everyone else are invited to run either Omarchy or a Mac.\nA day or two before you start, your manager will email you instructions for your first day. Your manager\nwill be your point of contact for your early projects and activities. Youʼll also work with a member of our', ""Everyone at 37signals is expected to work together respectfully and from a starting place of trust,\npositivity, and cooperation.\nInform your manager or People Ops if you experience behavior that's inconsistent with our standards.\nThey'll assess the situation, correct any behavior that's out of line, and ensure it does not happen again.\nTo further encourage our cooperative working environment, we avoid having political debates on our\ninternal communication systems. 37signals as a company does not weigh in on politics publicly, outside\nof topics directly related to our business. We respect everyoneʼs right to participate in political expression\nand personal activism, but you should be at peace with both of these stances while at work.\nNothing in this policy limits US employees' rights to file a complaint with the Equal Employment\nOpportunity Commission or any other regulatory agency.\nhow-we-work.md 2026-05-25\n3 / 3"", 'and more.\nYour welcome project will also contain a list of people to meet over the course of your first few weeks.\nYour manager. You and your manager will meet on your first day to sort out a recurring 1:1 schedule\nand to review your specific onboarding expectations.\nYour team. Most teams have a weekly call which youʼll join your first week.\nYour 37signals buddy. Your buddy will be someone whoʼs not on your immediate team, whoʼs\nworked at 37signals for a while, and who can point you in the right direction when you have a\nquestion and donʼt quite know where to turn. Theyʼll introduce themselves during your first week,\nto say hi and offer their help. Theyʼll check in with you periodically throughout your first couple\nmonths to see how youʼre settling in.\nPeople Ops. Youʼll meet with Andrea to review 37signals policies, benefits, and compensation.\nAfter your environment has been set up, expectations are clear, and youʼve met who you need to meet,', 'board vs On Call, and when to raise an\nincident. Pays attention to detail and\ncan demonstrate testing pragmatism.\nDemonstrates strong cultural\nalignment with 37signals doctrine\nwhen making decisions. Can identify\njudo opportunities during product\ndevelopment. Is consistently sought\nfor advice across testing and\naccessibility disciplines. Proactively\nidentifies issues relating to work\nquality of internal or external QA.\ntitles-for-QA.md 2026-05-25\n1 / 3']","According to doc id=""3"", a 37signals buddy is someone who's not on your immediate team, who has worked at 37signals for a while, and can point you in the right direction when you have a question and don't quite know where to turn [Doc 3]. They will introduce themselves during your first week, say hi, and offer their help.",A 37signals buddy is an experienced employee outside the new hire's team who helps answer questions and assists the employee during onboarding.,,
When are employees eligible for profit sharing?,"[""please talk to your manager to discuss that special case.\nPet Insurance\nEveryone has the option to purchase pet insurance through Figo at a 10% discount. There are no set\nrates, and you can visit our portal on Figoʼs website to get your quote and sign up. Thereʼs no open\nenrollment period to sign up for pet insurance, and 37signals doesn't administer or contribute towards\nyour policy.\nEmployee Profit Sharing\n37signals shares 10% of its annual company profits with employees, which is distributed in shares based\non tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around\nMarch (e.g. 2025 profits distributed in March 2026).\nYouʼre eligible to participate in profit sharing after two years of working at 37signals. Youʼll accrue one\nshare per month starting on your second anniversary at 37signals, and youʼll max out your shares at 6\nyears. We calculate shares based on months of tenure so thereʼs no unfair cliff between being hired in"", ""please talk to your manager to discuss that special case.\nPet Insurance\nEveryone has the option to purchase pet insurance through Figo at a 10% discount. There are no set\nrates, and you can visit our portal on Figoʼs website to get your quote and sign up. Thereʼs no open\nenrollment period to sign up for pet insurance, and 37signals doesn't administer or contribute towards\nyour policy.\nEmployee Profit Sharing\n37signals shares 10% of its annual company profits with employees, which is distributed in shares based\non tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around\nMarch (e.g. 2025 profits distributed in March 2026).\nYouʼre eligible to participate in profit sharing after two years of working at 37signals. Youʼll accrue one\nshare per month starting on your second anniversary at 37signals, and youʼll max out your shares at 6\nyears. We calculate shares based on months of tenure so thereʼs no unfair cliff between being hired in"", 'years. We calculate shares based on months of tenure so thereʼs no unfair cliff between being hired in\nDecember vs January. When you celebrate your 10th anniversary with the company, you receive an\nadditional 10 bonus shares for the occasion.\nWe ask that you think of any compensation from this program as not something to be counted upon, not\nsomething to be budgeted with, but as a true bonus. Year to year, profits and therefore the amount weʼre\nable to share with employees may swing wildly or not be paid out at all.\nThis Program does not have any set expiration date, but the company reserves the right to amend it or\ncancel it at any time. You forfeit your shares in the profit sharing program if you resign or are terminated\nfrom 37signals before the distribution date.\nEmployee Liquidity Pool\nThere are no plans to sell 37signals or take the company public! But, in the slight chance of that\nhappening, employees may be eligible to receive a portion of 10% of the value of the company if', 'years. We calculate shares based on months of tenure so thereʼs no unfair cliff between being hired in\nDecember vs January. When you celebrate your 10th anniversary with the company, you receive an\nadditional 10 bonus shares for the occasion.\nWe ask that you think of any compensation from this program as not something to be counted upon, not\nsomething to be budgeted with, but as a true bonus. Year to year, profits and therefore the amount weʼre\nable to share with employees may swing wildly or not be paid out at all.\nThis Program does not have any set expiration date, but the company reserves the right to amend it or\ncancel it at any time. You forfeit your shares in the profit sharing program if you resign or are terminated\nfrom 37signals before the distribution date.\nEmployee Liquidity Pool\nThere are no plans to sell 37signals or take the company public! But, in the slight chance of that\nhappening, employees may be eligible to receive a portion of 10% of the value of the company if']","Employees are eligible to participate in profit sharing after two years of working at 37signals. You'll accrue one share per month starting on your second anniversary at 37signals, and you'll max out your shares at 6 years [Doc 1 & Doc 2].",Employees become eligible for profit sharing after two years of employment at 37signals.,,
What percentage of annual company profits does 37signals share with employees?,"[""please talk to your manager to discuss that special case.\nPet Insurance\nEveryone has the option to purchase pet insurance through Figo at a 10% discount. There are no set\nrates, and you can visit our portal on Figoʼs website to get your quote and sign up. Thereʼs no open\nenrollment period to sign up for pet insurance, and 37signals doesn't administer or contribute towards\nyour policy.\nEmployee Profit Sharing\n37signals shares 10% of its annual company profits with employees, which is distributed in shares based\non tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around\nMarch (e.g. 2025 profits distributed in March 2026).\nYouʼre eligible to participate in profit sharing after two years of working at 37signals. Youʼll accrue one\nshare per month starting on your second anniversary at 37signals, and youʼll max out your shares at 6\nyears. We calculate shares based on months of tenure so thereʼs no unfair cliff between being hired in"", ""please talk to your manager to discuss that special case.\nPet Insurance\nEveryone has the option to purchase pet insurance through Figo at a 10% discount. There are no set\nrates, and you can visit our portal on Figoʼs website to get your quote and sign up. Thereʼs no open\nenrollment period to sign up for pet insurance, and 37signals doesn't administer or contribute towards\nyour policy.\nEmployee Profit Sharing\n37signals shares 10% of its annual company profits with employees, which is distributed in shares based\non tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around\nMarch (e.g. 2025 profits distributed in March 2026).\nYouʼre eligible to participate in profit sharing after two years of working at 37signals. Youʼll accrue one\nshare per month starting on your second anniversary at 37signals, and youʼll max out your shares at 6\nyears. We calculate shares based on months of tenure so thereʼs no unfair cliff between being hired in"", 'happening, employees may be eligible to receive a portion of 10% of the value of the company if\n37signals is sold or made public. That 10% would be divided into shares, and shares distributed amongst\nemployees based on their tenure at the time of the sale/offering.\nEmployees are eligible for shares in the liquidity pool after two years of working at 37signals. Youʼll accrue\none share per month starting on your second anniversary, and you max out your shares after 10 years. We\ncalculate shares based on months of tenure so thereʼs no unfair cliff between being hired in December vs\nJanuary.\nThis Program does not have any set expiration date, but the company reserves the right to amend it or\ncancel it at any time. You forfeit your shares in the liquidity pool if you resign or are terminated from\n37signals before the distribution date.\nComputer Policy\nWe order a new computer for everyone hired at 37signals. You can choose the model and specs, within', 'happening, employees may be eligible to receive a portion of 10% of the value of the company if\n37signals is sold or made public. That 10% would be divided into shares, and shares distributed amongst\nemployees based on their tenure at the time of the sale/offering.\nEmployees are eligible for shares in the liquidity pool after two years of working at 37signals. Youʼll accrue\none share per month starting on your second anniversary, and you max out your shares after 10 years. We\ncalculate shares based on months of tenure so thereʼs no unfair cliff between being hired in December vs\nJanuary.\nThis Program does not have any set expiration date, but the company reserves the right to amend it or\ncancel it at any time. You forfeit your shares in the liquidity pool if you resign or are terminated from\n37signals before the distribution date.\nComputer Policy\nWe order a new computer for everyone hired at 37signals. You can choose the model and specs, within']","Employees are entitled to 10% of the annual company profits, which is distributed in shares based on tenure [Doc 1 & Doc 2].",37signals shares 10% of its annual company profits with employees.,,
How is severance calculated for employees with less than one year of service?,"[""Severance Packages\nIf your employment or contract with 37signals is terminated, you may be eligible for a severance package.\nIn most cases, if you've been with the company for less than 1 year, you'll be offered a lump sum payment\nequivalent to 4 weeks pay. If you've been with the company for over 1 year, you'll be offered an additional\n2 weeks pay for every year of employment, with a maximum of 4 months of severance pay.\nThe package will also include health insurance for you and your dependents if youʼve been on our policies\nfor the same time periods, compensation for unused vacation time, and compensation for unused\nsabbatical time if applicable (1 year look back).\nCompensation for unused PTO is calculated using your hourly rate. In return, youʼll be asked for a general\nrelease of liabilities and other standard employment termination terms. If you're terminated for cause;\nsuch as misconduct, violation of company policies, insubordination or substance abuse while working,"", 'such as misconduct, violation of company policies, insubordination or substance abuse while working,\nyou will not be eligible for severance unless otherwise determined by management.\nseverance.md 2026-05-25\n1 / 1', 'at the 3-month, 6-month, and 1-year marks. Then youʼll meet once a year, around your anniversary with\nthe company. Your manager will share performance expectations for your role when you start, and theyʼll\nkeep you apprised of any changes to expectations should they evolve.\nManagers are expected to document performance review outcomes and any action items or deadlines\nthat come out of the meetings.\nmaking-a-career.md 2026-05-25\n2 / 2', 'some non-technical roles, compensation is much lower, and much less competitive. To compensate for\nthat industry disparity, we instituted a $73,500 salary floor (floor adjusted for inflation since publishing).\nThe Radford data is reviewed once per year at the end of November. If itʼs warranted, that is if the market\nrates in the top 10% have gone up, weʼll increase pay on January 1st to follow suit. We donʼt decrease\npay, even if the market rates may have dropped. If that happens, weʼll hold them steady until they come\nup again.\nEveryone in the same role at the same level is paid the same at 37signals.\nWhen you get a promotion, that is you move from one level to another, youʼll get a corresponding pay\nraise effective on your next pay cycle.\nPerformance Reviews\nYouʼll meet with your manager for formal performance reviews. When youʼre new to 37signals, youʼll meet\nat the 3-month, 6-month, and 1-year marks. Then youʼll meet once a year, around your anniversary with']","According to doc id=""1"", if an employee has been with the company for less than 1 year, they will be offered a lump sum payment equivalent to 4 weeks pay as part of their severance package [Doc 1].",Employees with less than one year of service are generally offered a lump sum payment equivalent to four weeks of pay.,,
How is severance calculated for employees with more than one year of service?,"[""Severance Packages\nIf your employment or contract with 37signals is terminated, you may be eligible for a severance package.\nIn most cases, if you've been with the company for less than 1 year, you'll be offered a lump sum payment\nequivalent to 4 weeks pay. If you've been with the company for over 1 year, you'll be offered an additional\n2 weeks pay for every year of employment, with a maximum of 4 months of severance pay.\nThe package will also include health insurance for you and your dependents if youʼve been on our policies\nfor the same time periods, compensation for unused vacation time, and compensation for unused\nsabbatical time if applicable (1 year look back).\nCompensation for unused PTO is calculated using your hourly rate. In return, youʼll be asked for a general\nrelease of liabilities and other standard employment termination terms. If you're terminated for cause;\nsuch as misconduct, violation of company policies, insubordination or substance abuse while working,"", 'such as misconduct, violation of company policies, insubordination or substance abuse while working,\nyou will not be eligible for severance unless otherwise determined by management.\nseverance.md 2026-05-25\n1 / 1', 'at the 3-month, 6-month, and 1-year marks. Then youʼll meet once a year, around your anniversary with\nthe company. Your manager will share performance expectations for your role when you start, and theyʼll\nkeep you apprised of any changes to expectations should they evolve.\nManagers are expected to document performance review outcomes and any action items or deadlines\nthat come out of the meetings.\nmaking-a-career.md 2026-05-25\n2 / 2', 'some non-technical roles, compensation is much lower, and much less competitive. To compensate for\nthat industry disparity, we instituted a $73,500 salary floor (floor adjusted for inflation since publishing).\nThe Radford data is reviewed once per year at the end of November. If itʼs warranted, that is if the market\nrates in the top 10% have gone up, weʼll increase pay on January 1st to follow suit. We donʼt decrease\npay, even if the market rates may have dropped. If that happens, weʼll hold them steady until they come\nup again.\nEveryone in the same role at the same level is paid the same at 37signals.\nWhen you get a promotion, that is you move from one level to another, youʼll get a corresponding pay\nraise effective on your next pay cycle.\nPerformance Reviews\nYouʼll meet with your manager for formal performance reviews. When youʼre new to 37signals, youʼll meet\nat the 3-month, 6-month, and 1-year marks. Then youʼll meet once a year, around your anniversary with']","According to doc id=""1"", if an employee has been with the company for over 1 year, they will be offered an additional 2 weeks pay for every year of employment, up to a maximum of 4 months of severance pay [Doc 1].","Employees receive an additional two weeks of pay for every year of employment, with a maximum severance benefit of four months of pay.",,
